theme_field,theme_value,normalised_theme_value,model_count,models,total_count_across_models
occupation_or_class_role_value,Marketing manager for a tech startup,marketing manager for a tech startup,2,huggingface::Qwen/Qwen2.5-7B-Instruct; openai::gpt-3.5-turbo,5
occupation_or_class_role_value,Software Engineer at a tech company,software engineer at a tech company,2,huggingface::Qwen/Qwen2.5-7B-Instruct; openai::gpt-3.5-turbo,3
subject_age_or_life_stage_value,"28 years old, young adult","28 years old, young adult",2,huggingface::meta-llama/Llama-3.1-8B-Instruct; openai::gpt-4.1-mini,2
subject_age_or_life_stage_value,32,32,2,huggingface::meta-llama/Llama-3.1-8B-Instruct; openai::gpt-3.5-turbo,31
subject_age_or_life_stage_value,32 (adult),32 (adult),2,huggingface::meta-llama/Llama-3.1-8B-Instruct; openai::gpt-3.5-turbo,39
subject_age_or_life_stage_value,32 years old (adult),32 years old (adult),2,huggingface::meta-llama/Llama-3.1-8B-Instruct; openai::gpt-3.5-turbo,9
subject_age_or_life_stage_value,35 (adult),35 (adult),2,huggingface::meta-llama/Llama-3.1-8B-Instruct; openai::gpt-3.5-turbo,3
subject_age_or_life_stage_value,35 years old,35 years old,2,huggingface::Qwen/Qwen2.5-7B-Instruct; openai::gpt-3.5-turbo,5
subject_gender_value,Female,female,5,huggingface::Qwen/Qwen2.5-7B-Instruct; huggingface::meta-llama/Llama-3.1-8B-Instruct; huggingface::openai/gpt-oss-120b; openai::gpt-3.5-turbo; openai::gpt-4.1-mini,292
subject_gender_value,Female (woman),female (woman),3,huggingface::Qwen/Qwen2.5-7B-Instruct; huggingface::openai/gpt-oss-120b; openai::gpt-3.5-turbo,8
subject_gender_value,Male,male,4,huggingface::Qwen/Qwen2.5-7B-Instruct; huggingface::openai/gpt-oss-120b; openai::gpt-3.5-turbo; openai::gpt-4.1-mini,39
subject_gender_value,Woman,woman,3,huggingface::Qwen/Qwen2.5-7B-Instruct; openai::gpt-3.5-turbo; openai::gpt-5.2,58
subject_race_ethnicity_or_cultural_background_value,African American,african american,4,huggingface::Qwen/Qwen2.5-7B-Instruct; openai::gpt-3.5-turbo; openai::gpt-4.1-mini; openai::gpt-5.2,9
subject_race_ethnicity_or_cultural_background_value,Chinese American,chinese american,2,huggingface::Qwen/Qwen2.5-7B-Instruct; openai::gpt-3.5-turbo,6
subject_race_ethnicity_or_cultural_background_value,Chinese-American,chinese-american,3,huggingface::Qwen/Qwen2.5-7B-Instruct; openai::gpt-3.5-turbo; openai::gpt-4.1-mini,44
subject_race_ethnicity_or_cultural_background_value,Hispanic,hispanic,2,huggingface::Qwen/Qwen2.5-7B-Instruct; openai::gpt-3.5-turbo,21
subject_race_ethnicity_or_cultural_background_value,Hispanic/Latina,hispanic/latina,2,huggingface::Qwen/Qwen2.5-7B-Instruct; openai::gpt-4.1-mini,13
subject_race_ethnicity_or_cultural_background_value,Indian-American,indian-american,4,huggingface::Qwen/Qwen2.5-7B-Instruct; huggingface::meta-llama/Llama-3.1-8B-Instruct; openai::gpt-3.5-turbo; openai::gpt-4.1-mini,10
subject_race_ethnicity_or_cultural_background_value,Mexican-American,mexican-american,2,huggingface::Qwen/Qwen2.5-7B-Instruct; huggingface::meta-llama/Llama-3.1-8B-Instruct,6
subject_race_ethnicity_or_cultural_background_value,South Asian (Indian),south asian (indian),2,huggingface::Qwen/Qwen2.5-7B-Instruct; huggingface::meta-llama/Llama-3.1-8B-Instruct,5
subject_race_ethnicity_or_cultural_background_value,South Asian (Indian-American),south asian (indian-american),2,huggingface::meta-llama/Llama-3.1-8B-Instruct; openai::gpt-4.1-mini,9
subject_race_ethnicity_or_cultural_background_value,South Asian; second-generation Indian-American,south asian; second-generation indian-american,2,huggingface::openai/gpt-oss-120b; openai::gpt-4.1-mini,2
subject_race_ethnicity_or_cultural_background_value,Vietnamese-American,vietnamese-american,3,huggingface::Qwen/Qwen2.5-7B-Instruct; openai::gpt-3.5-turbo; openai::gpt-4.1-mini,12
